Package,Tests,Errors,Failures,Skipped,Success Rate,Time
claudesonnet4.ws01.seq01,10,1,3,0,60.0%,12.63 s
claudesonnet4.ws01.seq02,0,0,0,0,0.00%,0.0 s
claudesonnet4.ws01.seq03,10,0,0,0,100%,3.105 s
claudesonnet4.ws01.seq04,15,1,5,0,60.0%,10.08 s
claudesonnet4.ws01.seq05,0,0,0,0,0.00%,0.0 s
claudesonnet4.ws02.seq01,20,16,0,0,20.0%,165.3 s
claudesonnet4.ws02.seq02,0,0,0,0,0.00%,0.0 s
claudesonnet4.ws02.seq03,0,0,0,0,0.00%,0.0 s
claudesonnet4.ws02.seq04,0,0,0,0,0.00%,0.0 s
claudesonnet4.ws02.seq05,0,0,0,0,0.00%,0.0 s
claudesonnet4.ws03.seq01,15,2,3,0,66.7%,33.19 s
claudesonnet4.ws03.seq02,0,0,0,0,0.00%,0.0 s
claudesonnet4.ws03.seq03,0,0,0,0,0.00%,0.0 s
claudesonnet4.ws03.seq04,0,0,0,0,0.00%,0.0 s
claudesonnet4.ws03.seq05,0,0,0,0,0.00%,0.0 s
claudesonnet4.ws04.seq01,25,2,1,0,88.0%,38.90 s
claudesonnet4.ws04.seq02,0,0,0,0,0.00%,0.0 s
claudesonnet4.ws04.seq03,20,4,3,0,65.0%,36.04 s
claudesonnet4.ws04.seq04,0,0,0,0,0.00%,0.0 s
claudesonnet4.ws04.seq05,15,7,0,0,53.3%,39.29 s
claudesonnet4.ws05.seq01,20,11,2,0,35.0%,224.2 s
claudesonnet4.ws05.seq02,0,0,0,0,0.00%,0.0 s
claudesonnet4.ws05.seq03,0,0,0,0,0.00%,0.0 s
claudesonnet4.ws05.seq04,0,0,0,0,0.00%,0.0 s
claudesonnet4.ws05.seq05,0,0,0,0,0.00%,0.0 s
claudesonnet4.ws06.seq01,15,2,0,0,86.7%,72.24 s
claudesonnet4.ws06.seq02,30,17,0,0,43.3%,185.5 s
claudesonnet4.ws06.seq03,0,0,0,0,0.00%,0.0 s
claudesonnet4.ws06.seq04,0,0,0,0,0.00%,0.0 s
claudesonnet4.ws06.seq05,67,1,6,0,89.6%,246.6 s
claudesonnet4.ws07.seq01,0,0,0,0,0.00%,0.0 s
claudesonnet4.ws07.seq02,26,17,0,0,34.6%,441.1 s
claudesonnet4.ws07.seq03,0,0,0,0,0.00%,0.0 s
claudesonnet4.ws07.seq04,20,4,0,0,80.0%,100.8 s
claudesonnet4.ws07.seq05,0,0,0,0,0.00%,0.0 s
claudesonnet4.ws08.seq01,26,1,3,0,84.6%,74.78 s
